row,column,value
17,Voleibol,Hace
17,Tenis,No hace
17,Atletismo,No hace
17,Boxeo,No hace
17,Deportes Motorizados,No hace
17,Golf,No hace
17,Ciclismo,No hace
17,Balonmano,No hace
17,"Entrenamiento físico (gimnasio, calistenia)",Hace
17,Ninguno de los deportes mencionados,No hace
18,Fútbol,No hace
18,Baloncesto,No hace
18,Voleibol,No hace
18,Tenis,No hace
18,Atletismo,No hace
18,Boxeo,No hace
18,Deportes Motorizados,No hace
18,Golf,No hace
18,Ciclismo,No hace
18,Balonmano,No hace
18,"Entrenamiento físico (gimnasio, calistenia)",Hace
18,Ninguno de los deportes mencionados,No hace
19,Fútbol,Hace
19,Baloncesto,No hace
19,Voleibol,No hace
19,Tenis,No hace
19,Atletismo,No hace
19,Boxeo,No hace
19,Deportes Motorizados,No hace
19,Golf,No hace
19,Ciclismo,No hace
19,Balonmano,No hace
19,"Entrenamiento físico (gimnasio, calistenia)",Hace
19,Ninguno de los deportes mencionados,No hace
20,Fútbol,No hace
20,Baloncesto,No hace
20,Voleibol,No hace
20,Tenis,Hace
20,Atletismo,No hace
20,Boxeo,No hace
20,Deportes Motorizados,No hace
20,Golf,No hace
20,Ciclismo,No hace
20,Balonmano,No hace
20,"Entrenamiento físico (gimnasio, calistenia)",No hace
20,Ninguno de los deportes mencionados,No hace
